Id,Phase,Pixel Count,Area,Center Of Gravity X,Center Of Gravity Y,Fitted Ellipse Major Diameter,Fitted Ellipse Minor Diameter,Fitted Ellipse Angle,Fitted Ellipse AspectRatio,Mean Orientation Euler1,Mean Orientation Euler2,Mean Orientation Euler3
,,pix,µm²,µm,µm,µm,µm,°,,°,°,°
1,Ti-Hex,17.00,2.72,0.87,1.60,4.41,0.79,113.77,5.61,26.13,121.19,36.22
3,Ti-Hex,21.00,3.36,2.10,1.24,3.50,1.22,92.06,2.86,10.25,64.30,55.99
10,Ti-Hex,10.00,1.60,7.04,0.24,2.18,0.93,13.61,2.34,125.73,105.73,39.29
16,Ti-Hex,48.00,7.68,13.27,2.92,7.99,1.22,106.89,6.52,8.93,61.82,56.65
19,Ti-Hex,135.00,21.60,18.44,6.04,14.29,1.93,116.19,7.42,109.56,166.62,14.83
24,Ti-Hex,11.00,1.76,18.76,1.02,2.54,0.88,113.61,2.89,24.97,119.03,34.45
25,Ti-Hex,11.00,1.76,19.53,1.16,3.40,0.66,113.48,5.17,106.07,166.39,10.14
26,Ti-Hex,48.00,7.68,20.88,2.98,7.23,1.35,99.65,5.35,8.95,61.63,55.66
29,Ti-Hex,202.00,32.32,27.38,9.30,22.47,1.83,115.27,12.27,111.68,167.29,17.14
31,Ti-Hex,15.00,2.40,25.12,1.73,4.60,0.66,111.02,6.91,8.07,62.20,55.70
35,Ti-Hex,13.00,2.08,27.38,1.66,3.82,0.69,97.25,5.50,8.09,61.43,56.05
36,Ti-Hex,105.00,16.80,29.14,8.08,14.23,1.50,102.12,9.47,23.13,120.65,33.62
40,Ti-Hex,563.00,90.08,34.50,20.96,45.93,2.50,103.62,18.40,8.63,62.28,55.60
41,Ti-Hex,77.00,12.32,33.03,3.91,10.23,1.53,118.98,6.68,108.84,167.24,14.37
43,Ti-Hex,13.00,2.08,33.20,0.74,2.54,1.04,129.96,2.43,110.73,166.18,15.31
46,Ti-Hex,58.00,9.28,37.26,3.32,8.48,1.39,118.89,6.08,112.51,166.74,16.99
50,Ti-Hex,16.00,2.56,37.55,1.00,3.20,1.02,117.03,3.13,9.64,61.80,55.47
51,Ti-Hex,11.00,1.76,38.58,1.35,3.37,0.66,114.30,5.08,112.85,166.82,16.71
52,Ti-Hex,17.00,2.72,39.46,1.20,4.01,0.86,121.45,4.64,24.43,119.35,34.39
53,Ti-Hex,26.00,4.16,40.92,2.34,6.81,0.78,117.49,8.76,113.23,166.74,17.39
55,Ti-Hex,14.00,2.24,41.37,1.17,3.40,0.84,97.22,4.06,9.48,61.98,56.17
57,Ti-Hex,260.00,41.60,54.16,2.23,20.01,2.65,164.68,7.56,70.92,80.50,32.91
68,Ti-Hex,29.00,4.64,63.46,2.69,5.89,1.00,103.82,5.88,11.52,62.28,55.18
69,Ti-Hex,39.00,6.24,65.42,3.41,8.87,0.90,120.80,9.89,114.38,166.65,16.90
70,Ti-Hex,16.00,2.56,65.10,0.92,3.01,1.08,116.90,2.78,27.50,120.50,35.50
74,Ti-Hex,60.00,9.60,69.29,3.19,8.79,1.39,121.20,6.32,113.10,166.55,16.18
79,Ti-Hex,50.00,8.00,72.64,3.02,8.46,1.20,121.23,7.03,115.47,166.78,18.29
83,Ti-Hex,18.00,2.88,74.04,2.04,5.66,0.65,108.98,8.75,26.29,120.08,34.76
85,Ti-Hex,17.00,2.72,75.46,1.01,3.23,1.07,118.72,3.02,11.41,62.35,56.73
87,Ti-Hex,15.00,2.40,77.79,0.91,3.02,1.01,121.17,2.98,120.39,165.88,21.72
88,Ti-Hex,27.00,4.32,79.94,1.05,4.65,1.18,147.27,3.93,130.75,43.80,26.81
90,Ti-Hex,24.00,3.84,81.77,1.25,4.11,1.19,127.74,3.45,120.69,166.10,21.69
97,Ti-Hex,33.00,5.28,86.38,1.27,4.99,1.35,30.67,3.71,128.34,101.68,38.65
102,Ti-Hex,41.00,6.56,8.99,4.59,9.58,0.87,105.48,10.98,8.51,62.11,56.89
103,Ti-Hex,12.00,1.92,9.03,1.67,3.19,0.77,118.35,4.17,112.91,165.81,17.56
127,Ti-Hex,82.00,13.12,84.81,3.75,12.05,1.39,33.74,8.69,119.33,163.44,9.87
128,Ti-Hex,160.00,25.60,5.71,11.52,22.53,1.45,119.26,15.57,112.22,165.44,17.05
144,Ti-Hex,12.00,1.92,45.10,2.07,3.50,0.70,119.51,5.00,111.80,167.82,16.18
155,Ti-Hex,15.00,2.40,73.36,2.24,4.03,0.76,110.23,5.32,11.18,61.68,55.76
160,Ti-Hex,18.00,2.88,3.40,2.11,2.55,1.44,41.02,1.78,126.93,106.42,39.62
171,Ti-Hex,10.00,1.60,42.16,2.68,3.54,0.57,99.53,6.17,24.39,122.05,34.74
173,Ti-Hex,12.00,1.92,43.33,2.57,3.82,0.64,113.86,5.96,115.34,166.78,20.36
175,Ti-Hex,28.00,4.48,47.61,2.13,4.61,1.24,164.01,3.73,129.42,47.05,25.02
195,Ti-Hex,12.00,1.92,26.43,2.97,3.20,0.76,114.77,4.18,111.31,167.03,16.79
199,Ti-Hex,20.00,3.20,36.38,3.74,4.77,0.85,115.18,5.58,23.83,119.80,33.78
204,Ti-Hex,12.00,1.92,67.67,3.03,3.80,0.64,109.16,5.90,10.55,62.12,56.26
215,Ti-Hex,24.00,3.84,80.53,2.63,4.08,1.20,145.84,3.40,72.13,78.95,36.19
217,Ti-Hex,19.00,3.04,5.62,3.87,4.99,0.78,112.45,6.44,10.02,61.91,55.12
227,Ti-Hex,17.00,2.72,35.44,3.74,4.66,0.74,118.72,6.26,110.51,167.30,15.48
255,Ti-Hex,122.00,19.52,25.26,9.63,15.44,1.61,112.75,9.59,8.49,61.79,55.87
263,Ti-Hex,22.00,3.52,55.60,4.67,5.67,0.79,118.79,7.18,117.47,167.55,21.25
266,Ti-Hex,13.00,2.08,60.74,2.68,3.04,0.87,173.26,3.49,25.41,120.98,45.10
276,Ti-Hex,14.00,2.24,80.09,3.60,3.01,0.95,124.91,3.18,11.04,63.57,58.16
285,Ti-Hex,45.00,7.20,7.84,6.12,7.70,1.19,119.32,6.46,113.06,166.11,17.74
286,Ti-Hex,18.00,2.88,7.49,3.62,2.64,1.39,131.06,1.90,125.01,108.10,27.09
289,Ti-Hex,15.00,2.40,12.77,4.11,3.96,0.77,118.25,5.12,109.06,165.80,13.00
302,Ti-Hex,13.00,2.08,39.35,4.09,3.75,0.71,102.69,5.31,9.38,62.92,55.62
326,Ti-Hex,29.00,4.64,86.86,4.44,5.02,1.18,44.72,4.27,127.56,103.73,36.80
332,Ti-Hex,24.00,3.84,4.47,6.05,6.38,0.77,108.47,8.33,8.86,62.71,57.58
337,Ti-Hex,28.00,4.48,11.03,4.84,3.99,1.43,114.83,2.79,111.07,165.73,15.08
356,Ti-Hex,69.00,11.04,46.42,5.04,5.44,2.59,16.23,2.10,8.85,62.77,45.98
403,Ti-Hex,10.00,1.60,0.20,5.00,2.56,0.79,82.98,3.23,128.15,106.44,38.49
427,Ti-Hex,11.00,1.76,53.24,4.87,2.06,1.09,129.35,1.90,127.20,48.49,26.79
436,Ti-Hex,18.00,2.88,78.78,5.27,2.98,1.23,88.71,2.41,127.31,104.15,36.60
438,Ti-Hex,13.00,2.08,81.48,4.55,2.23,1.19,45.47,1.88,127.08,104.21,38.12
443,Ti-Hex,76.00,12.16,85.27,7.47,9.26,1.67,36.54,5.54,117.98,163.33,8.57
444,Ti-Hex,274.00,43.84,4.34,15.98,23.68,2.36,104.19,10.05,8.70,62.55,56.92
466,Ti-Hex,25.00,4.00,50.88,5.09,4.70,1.08,166.80,4.35,23.45,118.80,45.65
472,Ti-Hex,29.00,4.64,68.92,5.68,4.11,1.44,143.50,2.86,130.78,47.40,25.56
491,Ti-Hex,11.00,1.76,35.16,6.44,4.16,0.54,106.68,7.71,7.67,62.30,55.00
516,Ti-Hex,14.00,2.24,15.63,6.11,2.65,1.08,41.44,2.46,124.85,108.14,37.46
520,Ti-Hex,13.00,2.08,22.80,6.80,3.99,0.66,106.41,6.00,113.14,167.22,18.30
551,Ti-Hex,276.00,44.16,53.18,8.76,14.03,4.01,159.95,3.50,124.82,107.52,26.85
575,Ti-Hex,57.00,9.12,23.66,10.55,10.13,1.15,115.37,8.84,23.32,119.51,34.38
579,Ti-Hex,14.00,2.24,36.91,7.23,2.32,1.23,112.03,1.89,23.14,120.52,33.60
607,Ti-Hex,15.00,2.40,16.88,7.87,2.61,1.17,91.40,2.22,9.05,61.40,55.17
610,Ti-Hex,22.00,3.52,21.24,9.11,5.84,0.77,111.36,7.61,7.90,62.27,55.42
611,Ti-Hex,37.00,5.92,22.74,10.71,10.77,0.70,116.05,15.40,109.91,166.46,15.77
617,Ti-Hex,13.00,2.08,40.89,7.11,1.93,1.37,135.00,1.41,9.04,63.06,44.51
627,Ti-Hex,13.00,2.08,66.06,7.11,2.76,0.96,148.23,2.88,71.08,79.57,33.51
629,Ti-Hex,15.00,2.40,76.43,7.01,2.08,1.47,151.68,1.42,25.41,120.94,45.62
657,Ti-Hex,13.00,2.08,82.55,7.54,2.27,1.17,107.39,1.94,27.98,121.15,49.02
682,Ti-Hex,21.00,3.36,79.85,7.96,2.83,1.51,25.01,1.87,28.44,121.54,48.75
683,Ti-Hex,41.00,6.56,88.17,8.75,3.26,2.56,58.10,1.27,10.60,63.53,48.06
703,Ti-Hex,56.00,8.96,62.54,8.55,5.94,1.92,174.24,3.10,125.88,106.25,27.42
